anio;trimestre;provincia;media_bajada_mbps;adsl;cablemodem;fibra_optica;wireless;otras_tecnologias;total_tecnologia;512kbps;512kbps_1mbps;1mbps_6mbps;6mbps_10mbps;10mbps_20mbps;20mbps_30mbps;30mbps;otras_velocidades;total_velocidad;accesos_100_hogares
2022;1;Capital Federal;88;102290;1217225;62308;5784;29934;1417541;5270;5575;39918;7739;61053;43289;1188072;10717;1417541;111.8
2022;1;Catamarca;51;14181;15517;29118;1328;2234;62378;710;4560;4386;7009;8773;3761;35715;20207;62378;58.21
2022;1;Chaco;46;32391;64546;36662;8164;2356;144119;4610;1099;16888;21235;20898;13012;62946;7058;144119;44.06
2022;1;Chubut;13;44133;66667;9184;30592;21052;171628;1130;1677;61369;31856;3308;13871;14055;150607;171628;88.05
2022;1;Cordoba;50;195610;501799;235838;60843;9713;1003803;1000;12782;165922;126009;73967;34892;577027;130104;1003803;85.76
2022;1;Corrientes;38;40462;79093;10875;6774;5374;142578;670;4029;24563;25665;27077;10452;43631;70094;142578;47.64
2022;1;Entre Rios;36;67159;138986;23091;26098;12592;267926;1070;5745;50075;4962;42294;21578;81757;16075;267926;63.7
2022;1;Formosa;30;16397;15927;5146;16876;2020;54548;970;4480;24113;6945;6613;7160;15028;58800;54548;34.96
2022;1;Jujuy;28;21307;60616;25949;4662;3975;116509;580;1761;22141;16321;37923;5760;35287;20442;116509;58.06
2022;1;La Pampa;15;8003;58978;21739;19903;1109;109732;3010;2223;62812;9869;12044;525;14400;20833;109732;91.66
2022;1;La Rioja;41;9103;59228;9546;6395;310;84303;180;7780;3576;4692;23624;5645;45970;0;84303;78.77
2022;1;Mendoza;26;49464;74145;123228;26969;1379;275185;1140;3355;51230;26407;74178;21566;95048;30287;275185;48.74
2022;1;Misiones;42;39147;91752;25178;7807;7624;171508;510;3873;35655;22261;26855;15854;58610;80349;171508;49.04
2022;1;Neuquen;43;28443;73200;24193;23098;7450;149679;1370;1123;39856;15623;11163;2654;71238;70885;149679;74.17
2022;1;Rio Negro;31;38662;45366;38037;16815;18494;157374;1160;1383;35565;18859;26926;14144;37729;220652;157374;67.04
2022;1;Salta;37;44714;98667;40994;595;719;197515;1140;1725;35576;68246;6313;2214;76838;60489;197515;56.11
2022;1;San Juan;12;34038;14449;11294;20723;7674;88178;260;2269;32356;11914;25144;2088;11916;20465;88178;43.55
2022;1;San Luis;21;7987;11296;31;71809;28721;119844;610;6430;8287;3837;9802;68612;13;280589;119844;80.72
2022;1;Santa Cruz;11;10537;23420;10766;3974;4050;49102;510;6898;12710;11502;12277;2628;2551;48500;49102;43.34
2022;1;Santa Fe;39;213486;444609;146552;45261;20571;870479;4680;12435;143796;208361;84787;58018;344170;180444;870479;77.3
2022;1;Santiago Del Estero;14;18118;87979;1093;6349;2922;116461;1780;1401;30220;6117;13542;8490;8309;79200;116461;47.17
2022;1;Tierra Del Fuego;11;13031;38700;416;1240;3400;52611;240;8940;12849;1564;18034;1767;982;20421;52611;98.29
2022;1;Tucuman;47;92532;62396;86174;3995;4870;245584;390;2212;36028;46961;21014;5211;133846;27300;245584;57.39
2021;4;Buenos Aires;60;426325;2706506;1176024;126887;73415;4509157;37821;11026;352950;331292;297296;196021;3259793;220958;4509157;75.66
2021;4;Capital Federal;83;111360;1205128;60005;5679;29947;1412119;5630;1695;47133;81899;66135;66755;1147939;0;1412119;111.27
2021;4;Catamarca;46;16385;13858;25100;1512;2235;59090;710;0;6038;7855;9804;3262;29827;20233;59090;55.25
2021;4;Chaco;42;35548;63145;34688;8005;2359;143745;4610;1120;18845;22678;21937;13692;58435;70585;143745;44.05
2021;4;Chubut;9;46361;57412;9655;28041;18839;160308;1260;1294;63698;39568;31175;578;2904;150763;160308;82.57
2021;4;Cordoba;46;212011;487489;217214;61277;8779;986770;1000;2479;184548;130892;76246;41198;538700;120607;986770;84.51
2021;4;Corrientes;36;42523;71183;10138;6778;529;135912;670;6450;28830;26368;22922;10087;39911;70082;135912;45.51
2021;4;Entre Rios;33;70459;133387;23452;25022;12726;265046;1070;3024;56043;49636;38295;24068;77290;160583;265046;63.16
2021;4;Formosa;29;17211;15111;5151;16018;1720;53663;840;0;22908;6983;6811;1135;13775;10967;53663;34.45
